DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Mar-25,EQ,"1,829.00","1,836.00","1,805.85","1,825.35","1,825.50","1,828.20","1,821.88","1,880.00","1,421.25",14386824,"26,21,10,31,845.90",276619
27-Mar-25,EQ,"1,800.00","1,841.00","1,798.10","1,806.55","1,821.20","1,825.35","1,827.55","1,880.00","1,421.25",20829050,"38,06,61,30,418.30",416415
26-Mar-25,EQ,"1,825.00","1,827.50","1,802.00","1,821.45","1,803.00","1,806.55","1,814.11","1,880.00","1,421.25",12239221,"22,20,33,11,052.10",265431
25-Mar-25,EQ,"1,804.90","1,843.70","1,801.50","1,800.00","1,816.00","1,821.45","1,825.84","1,880.00","1,421.25",19550708,"35,69,65,16,139.20",407401
24-Mar-25,EQ,"1,779.00","1,804.40","1,773.65","1,770.35","1,802.80","1,800.00","1,794.28","1,880.00","1,421.25",8696868,"15,60,46,55,158.80",286856
21-Mar-25,EQ,"1,755.55","1,774.10","1,755.55","1,768.75","1,772.50","1,770.35","1,766.98","1,880.00","1,421.25",16754132,"29,60,41,96,148.95",210244
20-Mar-25,EQ,"1,754.00","1,774.00","1,749.30","1,744.10","1,766.60","1,768.75","1,760.62","1,880.00","1,421.25",8916989,"15,69,93,98,473.15",218030
19-Mar-25,EQ,"1,735.00","1,751.00","1,732.20","1,732.20","1,743.95","1,744.10","1,743.72","1,880.00","1,421.25",7610703,"13,27,09,34,759.25",201878
18-Mar-25,EQ,"1,728.00","1,737.40","1,715.05","1,710.40","1,735.60","1,732.20","1,729.28","1,880.00","1,421.25",10953589,"18,94,17,85,563.70",248631
17-Mar-25,EQ,"1,705.00","1,724.00","1,705.00","1,706.60","1,710.50","1,710.40","1,711.13","1,880.00","1,421.25",9475957,"16,21,46,35,449.55",365060
13-Mar-25,EQ,"1,716.05","1,720.80","1,700.05","1,711.15","1,705.00","1,706.60","1,711.11","1,880.00","1,421.25",7868132,"13,46,32,15,400.70",185351
12-Mar-25,EQ,"1,691.55","1,718.50","1,691.55","1,685.50","1,711.80","1,711.15","1,710.44","1,880.00","1,421.25",9392053,"16,06,45,64,334.10",277146
11-Mar-25,EQ,"1,682.40","1,694.00","1,670.05","1,687.50","1,687.90","1,685.50","1,685.65","1,880.00","1,421.25",9949215,"16,77,09,18,814.65",272484
10-Mar-25,EQ,"1,689.00","1,699.90","1,683.05","1,689.25","1,688.70","1,687.50","1,689.67","1,880.00","1,421.25",7802025,"13,18,28,46,005.05",284969
07-Mar-25,EQ,"1,682.00","1,701.15","1,677.60","1,691.20","1,688.00","1,689.25","1,690.66","1,880.00","1,421.25",6686457,"11,30,45,55,576.90",191461
06-Mar-25,EQ,"1,687.00","1,699.90","1,672.25","1,690.00","1,692.40","1,691.20","1,686.14","1,880.00","1,421.25",16483044,"27,79,26,85,275.85",399697
05-Mar-25,EQ,"1,701.95","1,710.80","1,688.25","1,710.00","1,692.10","1,690.00","1,695.97","1,880.00","1,421.25",10791936,"18,30,27,95,483.00",361183
04-Mar-25,EQ,"1,698.00","1,714.30","1,693.25","1,701.55","1,711.30","1,710.00","1,706.30","1,880.00","1,421.25",9960479,"16,99,55,92,810.65",323741
03-Mar-25,EQ,"1,739.80","1,743.05","1,694.10","1,732.40","1,703.55","1,701.55","1,709.27","1,880.00","1,421.25",10602682,"18,12,28,15,702.35",298350
28-Feb-25,EQ,"1,685.00","1,737.25","1,685.00","1,700.70","1,730.15","1,732.40","1,721.14","1,880.00","1,397.30",27258364,"46,91,55,54,649.05",439035
27-Feb-25,EQ,"1,682.55","1,710.75","1,682.55","1,682.35","1,698.25","1,700.70","1,701.04","1,880.00","1,397.30",17893400,"30,43,73,23,745.00",333728
25-Feb-25,EQ,"1,671.10","1,688.00","1,671.10","1,677.10","1,680.85","1,682.35","1,681.80","1,880.00","1,397.30",12069354,"20,29,82,55,600.95",222521
24-Feb-25,EQ,"1,681.10","1,684.20","1,661.10","1,692.50","1,677.00","1,677.10","1,672.34","1,880.00","1,397.30",10346823,"17,30,34,02,535.10",245559
21-Feb-25,EQ,"1,680.90","1,694.95","1,677.25","1,687.10","1,690.00","1,692.50","1,686.23","1,880.00","1,397.30",7840470,"13,22,08,29,593.15",292907
20-Feb-25,EQ,"1,711.00","1,714.70","1,685.30","1,727.20","1,685.95","1,687.10","1,695.04","1,880.00","1,397.30",13195255,"22,36,64,35,828.30",246655
19-Feb-25,EQ,"1,717.00","1,737.90","1,712.45","1,723.05","1,725.05","1,727.20","1,727.42","1,880.00","1,397.30",5942056,"10,26,44,54,339.75",300603
18-Feb-25,EQ,"1,713.05","1,731.55","1,706.15","1,717.35","1,723.00","1,723.05","1,721.09","1,880.00","1,397.30",8175455,"14,07,06,71,116.40",322226
17-Feb-25,EQ,"1,685.20","1,720.00","1,681.25","1,694.85","1,719.00","1,717.35","1,702.14","1,880.00","1,397.30",6469473,"11,01,19,75,039.00",262946
14-Feb-25,EQ,"1,701.90","1,701.90","1,680.00","1,697.70","1,694.40","1,694.85","1,690.46","1,880.00","1,363.55",9979946,"16,87,06,60,139.45",309031
13-Feb-25,EQ,"1,699.00","1,714.25","1,693.55","1,706.80","1,698.95","1,697.70","1,702.88","1,880.00","1,363.55",6301217,"10,73,02,16,799.15",200278
12-Feb-25,EQ,"1,693.00","1,712.00","1,681.20","1,701.40","1,710.65","1,706.80","1,696.59","1,880.00","1,363.55",11404785,"19,34,92,71,431.55",286053
11-Feb-25,EQ,"1,703.00","1,711.00","1,688.70","1,715.75","1,700.95","1,701.40","1,700.06","1,880.00","1,363.55",11362352,"19,31,66,30,388.15",182730
10-Feb-25,EQ,"1,717.30","1,723.45","1,708.50","1,732.75","1,716.60","1,715.75","1,715.57","1,880.00","1,363.55",8597975,"14,75,03,90,095.15",175150
