DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Mar-25,EQ,"1,590.00","1,598.45","1,560.00","1,603.55","1,569.00","1,570.65","1,576.42","2,006.45","1,358.35",6799047,"10,71,81,60,396.85",217515
27-Mar-25,EQ,"1,595.55","1,619.95","1,586.00","1,599.45","1,605.00","1,603.55","1,601.41","2,006.45","1,358.35",9426573,"15,09,58,08,795.90",201020
26-Mar-25,EQ,"1,626.00","1,637.75","1,595.00","1,628.45","1,599.00","1,599.45","1,610.78","2,006.45","1,358.35",6651302,"10,71,37,71,940.10",222554
25-Mar-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35",9890140,"16,08,22,64,118.35",266112
24-Mar-25,EQ,"1,597.95","1,607.10","1,572.70","1,592.55","1,593.95","1,592.75","1,588.76","2,006.45","1,358.35",8857726,"14,07,28,23,625.15",250512
21-Mar-25,EQ,"1,577.95","1,603.90","1,563.65","1,615.55","1,595.40","1,592.55","1,591.34","2,006.45","1,358.35",10074677,"16,03,22,62,527.35",241185
20-Mar-25,EQ,"1,592.00","1,631.90","1,592.00","1,586.55","1,609.05","1,615.55","1,616.31","2,006.45","1,358.35",7186750,"11,61,60,04,800.30",229276
19-Mar-25,EQ,"1,603.00","1,603.00","1,572.80","1,609.35","1,589.10","1,586.55","1,583.14","2,006.45","1,358.35",7387068,"11,69,47,51,809.10",250311
18-Mar-25,EQ,"1,597.65","1,612.90","1,582.35","1,590.05","1,608.20","1,609.35","1,602.43","2,006.45","1,358.35",6298054,"10,09,21,66,910.70",157097
17-Mar-25,EQ,"1,545.15","1,594.00","1,545.15","1,579.85","1,590.00","1,590.05","1,581.70","2,006.45","1,358.35",7526032,"11,90,39,59,172.65",220262
13-Mar-25,EQ,"1,599.25","1,606.05","1,570.30","1,590.85","1,579.00","1,579.85","1,582.31","2,006.45","1,358.35",7822888,"12,37,82,47,563.85",258464
12-Mar-25,EQ,"1,636.90","1,636.90","1,563.80","1,661.60","1,590.05","1,590.85","1,586.51","2,006.45","1,358.35",14870008,"23,59,13,64,599.50",491121
11-Mar-25,EQ,"1,680.00","1,680.00","1,637.05","1,701.45","1,667.00","1,661.60","1,655.07","2,006.45","1,358.35",12671234,"20,97,17,94,102.35",259181
10-Mar-25,EQ,"1,686.00","1,719.00","1,676.20","1,686.00","1,700.05","1,701.45","1,703.14","2,006.45","1,358.35",7558981,"12,87,40,09,178.00",184536
07-Mar-25,EQ,"1,703.10","1,705.00","1,675.50","1,715.85","1,685.00","1,686.00","1,686.32","2,006.45","1,358.35",8019331,"13,52,31,83,544.05",234031
