Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,3648.00,3660.00,3596.05,3604.45,3613.504967144774959372,70765,8029,255709679.00,36040,50.93,63.95,-43.55
27-March-2025,3624.65,3662.85,3610.00,3651.65,3645.326150864157648198,30955,3520,112841071.00,12150,39.25,52.85,27.00
26-March-2025,3661.00,3679.90,3625.00,3635.50,3658.031938100756697798,29338,3951,107319341.00,9548,32.54,54.90,-25.50
25-March-2025,3649.95,3708.90,3638.05,3657.70,3673.370649969760574904,140545,13910,516273878.00,46161,32.84,70.85,7.75
24-March-2025,3585.05,3649.60,3566.65,3631.55,3611.817601485992405450,85061,9459,307224817.00,38502,45.26,82.95,46.50
21-March-2025,3499.95,3615.00,3466.60,3579.40,3566.828618292134179089,68893,6889,245729524.00,29879,43.37,148.40,79.45
20-March-2025,3508.05,3577.55,3508.05,3562.80,3561.226365620160495565,113648,10340,404726254.00,50481,44.42,69.50,54.75
19-March-2025,3549.00,3549.00,3463.05,3497.15,3481.205344405950682698,157024,14776,546632788.00,93466,59.52,85.95,-51.85
18-March-2025,3503.00,3556.45,3479.00,3552.65,3538.746532461252640419,78586,7054,278095935.00,43739,55.66,77.45,49.65
17-March-2025,3508.50,3610.30,3478.00,3497.25,3508.967877171610750776,91119,7769,319733644.00,58431,64.13,132.30,-11.25
13-March-2025,3506.00,3524.15,3484.50,3512.35,3501.318872117788684137,21598,2831,75621485.00,7969,36.90,39.65,6.35
12-March-2025,3564.95,3565.30,3489.60,3503.60,3509.325735235514465609,37641,4126,132094530.00,14306,38.01,75.70,-61.35
11-March-2025,3553.25,3589.55,3536.90,3574.90,3567.763116999959105222,48906,6277,174485023.00,13589,27.79,52.65,21.65
10-March-2025,3610.20,3623.45,3582.10,3588.10,3602.473832190598332757,40546,6194,146065904.00,20250,49.94,41.35,-22.10
7-March-2025,3624.95,3624.95,3575.00,3611.30,3600.962211199582299960,30644,3720,110347886.00,11253,36.72,49.95,-13.65
6-March-2025,3568.00,3608.95,3536.15,3599.70,3568.352705141496755366,52086,6991,185861219.00,17565,33.72,72.80,31.70
5-March-2025,3529.95,3598.00,3521.10,3549.35,3568.937329916770951274,50343,6537,179671012.00,19151,38.04,76.90,19.40
4-March-2025,3483.95,3549.90,3463.80,3532.65,3515.291581078915548562,68643,9179,241300160.00,22497,32.77,86.10,48.70
3-March-2025,3499.85,3523.95,3475.00,3496.55,3498.257059763786519847,90088,10802,315150982.00,37769,41.92,48.95,-3.30
28-February-2025,3588.80,3599.00,3457.35,3483.90,3493.952176243680432200,95141,8550,332418104.00,54472,57.25,141.65,-104.90
27-February-2025,3628.95,3637.95,3600.00,3612.35,3613.092897295265433047,58527,9398,211463488.00,39852,68.09,37.95,-16.60
25-February-2025,3639.95,3657.95,3621.60,3631.10,3641.781889899144254278,209408,19180,762618262.00,135547,64.73,36.35,-8.85
